claim_id	source_id	order_key	page_id	locator	disposition	subkind	normalized_content	content_oid	exclusion_rationale	exclusion_review_ref	tombstone	superseded_by	tombstone_rationale	tombstone_review_ref
CL-TASAKI2020-0001	TASAKI2020	000015.0001	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 1	notation	notation	A := B or B =: A means that A is defined in terms of B.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0002	TASAKI2020	000015.0002	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 2	notation	notation	A ≃ B means that A and B are very close; A ∼ B means that they are roughly close or have the same order of magnitude.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0003	TASAKI2020	000015.0003	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 3	notation	notation	A ≅ B means that A and B are isomorphic.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0004	TASAKI2020	000015.0004	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 4	notation	notation	For a finite set S, |S| denotes its number of elements.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0005	TASAKI2020	000015.0005	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 5	notation	notation	A condition in a summation or product is specified within brackets beneath the operator.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0006	TASAKI2020	000015.0006	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 6	notation	notation	For c ∈ ℂ, c* denotes the complex conjugate of c.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0007	TASAKI2020	000015.0007	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 7	notation	notation	Λ denotes the set of sites of a general lattice.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0008	TASAKI2020	000015.0008	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 8	notation	notation	B denotes the set of bonds of a general lattice; a bond is an unordered pair {x,y} of distinct sites.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0009	TASAKI2020	000015.0009	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 9	notation	notation	N(x) = {y ∈ Λ | {x,y} ∈ B} is the set of sites directly connected to x by a bond.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0010	TASAKI2020	000015.0010	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 10	notation	notation	Λ_L denotes the sites of the d-dimensional hypercubic lattice defined in (3.1.2).	PENDING	NONE	NONE	false	NONE	NONE	NONE
