review_id	event_id	review_position	claim_id	review_scope	outcome	status	rationale	review_ref
NR-TASAKI2020-0001	CORPUS-NORMALIZATION-TASAKI2020-2026	1	CL-TASAKI2020-0235	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0002	CORPUS-NORMALIZATION-TASAKI2020-2026	2	CL-TASAKI2020-0287	exact_statement_readiness	split	closed	compound-caption-split	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0003	CORPUS-NORMALIZATION-TASAKI2020-2026	3	CL-TASAKI2020-0352	exact_statement_readiness	split	closed	compound-phase-caption-split	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0004	CORPUS-NORMALIZATION-TASAKI2020-2026	4	CL-TASAKI2020-0648	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0005	CORPUS-NORMALIZATION-TASAKI2020-2026	5	CL-TASAKI2020-0862	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0006	CORPUS-NORMALIZATION-TASAKI2020-2026	6	CL-TASAKI2020-0890	exact_statement_readiness	exclude_nonclaim	closed	nonpropositional-physical-interpretation	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0007	CORPUS-NORMALIZATION-TASAKI2020-2026	7	CL-TASAKI2020-0967	exact_statement_readiness	exclude_nonclaim	closed	introduction-without-independent-content	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0008	CORPUS-NORMALIZATION-TASAKI2020-2026	8	CL-TASAKI2020-1137	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0009	CORPUS-NORMALIZATION-TASAKI2020-2026	9	CL-TASAKI2020-1225	exact_statement_readiness	reclassify	closed	numerical-evidence-reclassified-as-conjecture	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0010	CORPUS-NORMALIZATION-TASAKI2020-2026	10	CL-TASAKI2020-1241	exact_statement_readiness	exclude_nonclaim	closed	undefined-typicality	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0011	CORPUS-NORMALIZATION-TASAKI2020-2026	11	CL-TASAKI2020-1250	exact_statement_readiness	reclassify	closed	numerical-evidence-reclassified-as-conjecture	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0012	CORPUS-NORMALIZATION-TASAKI2020-2026	12	CL-TASAKI2020-1324	exact_statement_readiness	exclude_nonclaim	closed	undefined-qualitative-comparison	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0013	CORPUS-NORMALIZATION-TASAKI2020-2026	13	CL-TASAKI2020-1332	exact_statement_readiness	exclude_nonclaim	closed	interpretive-remark-without-independent-proposition	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0014	CORPUS-NORMALIZATION-TASAKI2020-2026	14	CL-TASAKI2020-1336	exact_statement_readiness	split	closed	compound-phase-caption-split	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0015	CORPUS-NORMALIZATION-TASAKI2020-2026	15	CL-TASAKI2020-1352	exact_statement_readiness	split	closed	compound-phase-caption-split	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0016	CORPUS-NORMALIZATION-TASAKI2020-2026	16	CL-TASAKI2020-1356	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0017	CORPUS-NORMALIZATION-TASAKI2020-2026	17	CL-TASAKI2020-1486	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0018	CORPUS-NORMALIZATION-TASAKI2020-2026	18	CL-TASAKI2020-1523	exact_statement_readiness	split	closed	caption-and-definitions-split	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0019	CORPUS-NORMALIZATION-TASAKI2020-2026	19	CL-TASAKI2020-1573	exact_statement_readiness	split	closed	compound-setup-and-reduction-split	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0020	CORPUS-NORMALIZATION-TASAKI2020-2026	20	CL-TASAKI2020-1649	exact_statement_readiness	exclude_nonclaim	closed	heading-without-independent-content	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0021	CORPUS-NORMALIZATION-TASAKI2020-2026	21	CL-TASAKI2020-1898	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0022	CORPUS-NORMALIZATION-TASAKI2020-2026	22	CL-TASAKI2020-2041	exact_statement_readiness	exclude_nonclaim	closed	figure-purpose-without-independent-content	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0023	CORPUS-NORMALIZATION-TASAKI2020-2026	23	CL-TASAKI2020-2063	exact_statement_readiness	unchanged	closed	distinct-physical-summary-retained	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0024	CORPUS-NORMALIZATION-TASAKI2020-2026	24	CL-TASAKI2020-2107	exact_statement_readiness	split	closed	compound-hopping-and-references-split	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0025	CORPUS-NORMALIZATION-TASAKI2020-2026	25	CL-TASAKI2020-2155	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0026	CORPUS-NORMALIZATION-TASAKI2020-2026	26	CL-TASAKI2020-2196	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0027	CORPUS-NORMALIZATION-TASAKI2020-2026	27	CL-TASAKI2020-2198	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0028	CORPUS-NORMALIZATION-TASAKI2020-2026	28	CL-TASAKI2020-2208	exact_statement_readiness	exclude_nonclaim	closed	introduction-without-independent-content	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0029	CORPUS-NORMALIZATION-TASAKI2020-2026	29	CL-TASAKI2020-2328	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0030	CORPUS-NORMALIZATION-TASAKI2020-2026	30	CL-TASAKI2020-2409	exact_statement_readiness	split	closed	caption-and-domain-definition-split	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0031	CORPUS-NORMALIZATION-TASAKI2020-2026	31	CL-TASAKI2020-2878	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0032	CORPUS-NORMALIZATION-TASAKI2020-2026	32	CL-TASAKI2020-2947	exact_statement_readiness	exclude_nonclaim	closed	undefined-physical-comparison	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0033	CORPUS-NORMALIZATION-TASAKI2020-2026	33	CL-TASAKI2020-2955	exact_statement_readiness	exclude_nonclaim	closed	undefined-universality-relation	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0034	CORPUS-NORMALIZATION-TASAKI2020-2026	34	CL-TASAKI2020-2962	exact_statement_readiness	unchanged	closed	exact-statement-ready	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0035	CORPUS-NORMALIZATION-TASAKI2020-2026	35	CL-TASAKI2020-3147	exact_statement_readiness	exclude_nonclaim	closed	undefined-similarity	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
NR-TASAKI2020-0036	CORPUS-NORMALIZATION-TASAKI2020-2026	36	CL-TASAKI2020-3198	exact_statement_readiness	reclassify	closed	evidence-reclassified-as-conjecture	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW
